id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94762,18.47599,Entire home/apt,783,3,79,2024-06-18,0.56,1,11,4,
15007,Blaauwberg House on the beach in Bloubergstrand,59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,6550,2,47,2024-10-19,0.35,3,46,2,
15068,Grande Bay,59318,Linda,,Ward 23,-33.78826,18.4594,Entire home/apt,3000,4,0,,,6,356,0,
15077,Relaxed beach living in style,59342,Georg,,Ward 4,-33.858356,18.490376,Private room,2165,2,7,2022-06-16,0.05,6,90,0,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91115,18.41235,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.83074,18.63142,Entire home/apt,,3,0,,,1,0,0,
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,690,30,23,2022-08-24,0.13,1,214,0,
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.9659,18.37724,Entire home/apt,135000,4,3,2024-10-13,0.03,6,285,1,
16259,"Luxury Cottage, secure, spacious, no load shedding",63255,Cheryl,,Ward 59,-33.99612,18.46563,Entire home/apt,1495,2,17,2024-12-22,0.13,3,255,2,
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,,Ward 2,-33.89034,18.58852,Private room,,7,0,,,1,0,0,
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97918,18.45549,Entire home/apt,781,2,150,2024-12-23,0.96,5,263,37,
19384,2 bed home with a view under Table Mountain.,73764,Ingrid,,Ward 77,-33.92674,18.40597,Entire home/apt,1400,1,6,2023-03-29,0.06,1,56,0,
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84229,18.67832,Private room,,2,0,,,1,0,0,
19658,Private Room,74504,Ricardo,,Ward 5,-33.87208,18.53586,Private room,,7,0,,,1,0,0,
20125,Double Bedr0om to Rent,76161,Debbie,,Ward 73,-34.0259,18.48428,Private room,,1,0,,,1,0,0,
20263,Villa Honeywood Residence 5 star Service,837661,Daniel,,Ward 64,-34.13647,18.41994,Entire home/apt,7200,5,2,2024-02-17,0.08,2,318,1,
20403,Light and Bright Somerset,76971,Bronwyn,,Ward 84,-34.10292,18.8709,Entire home/apt,,7,0,,,1,0,0,
20670,ROOM TO LET,78185,Gill,,Ward 64,-34.09151,18.48337,Private room,,3,0,,,1,0,0,
22994,Heritage Home in Cape Town suburbs,89107,Sandra,,Ward 58,-33.95784,18.48782,Entire home/apt,1817,7,18,2024-12-20,0.10,1,28,2,
36347,Cosy Downtown Loft with Views over Rooftop Deck,156196,Alan,,Ward 115,-33.92456,18.42238,Entire home/apt,2226,4,285,2024-12-08,2.19,1,188,11,
36483,"Stylish Studio, Pool, Parking, Wifi, kitchenette",156910,Dave,,Ward 107,-33.82157,18.48436,Private room,,28,37,2024-11-09,0.23,8,347,2,
36485,Stunning Studio Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.82063,18.48376,Private room,836,28,25,2022-12-19,0.15,8,360,0,
36499,Lovely Garden Cottage Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.81963,18.48455,Entire home/apt,836,2,30,2022-02-12,0.18,8,275,0,
82212,Perfect Beachfront Apartment,404176,Gayle,,Ward 54,-33.91788,18.38626,Entire home/apt,7657,2,35,2024-09-08,0.22,5,260,2,
96036,Unique Town House -Green Point,510489,Christan,,Ward 115,-33.91017,18.41032,Entire home/apt,3579,4,25,2024-01-12,0.16,1,278,2,
101292,ChicShak Self Catering Accommodation in Muizenberg,531026,Carey,,Ward 64,-34.10327,18.47259,Entire home/apt,450,1,37,2022-05-31,0.26,1,0,0,
106673,Omega 4. Wouldn't you like to safely live here?,339579167,Penguins Cove,,Ward 23,-33.80609,18.46716,Entire home/apt,1500,2,23,2024-02-11,0.19,7,120,2,
